[2026-08-13 20:54:27] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/layout.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:54:27] IP=127.0.0.1 | METHOD=GET | PATH=/static/js/navbar.js | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:54:34] IP=127.0.0.1 | METHOD=GET | PATH=/.env | RISK=High | ATTACK=Sensitive File Probe | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:54:34] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/variables.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:54:34] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/layout.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:54:34] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/components.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:54:34] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/responsive.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:54:34] IP=127.0.0.1 | METHOD=GET | PATH=/static/js/navbar.js | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:54:47] IP=127.0.0.1 | METHOD=GET | PATH=/admin/login | RISK=Medium | ATTACK=Admin Enumeration | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:54:47] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/layout.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:54:47] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/responsive.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:54:47] IP=127.0.0.1 | METHOD=GET | PATH=/static/js/navbar.js | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:54:47] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/components.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:05] IP=127.0.0.1 | METHOD=POST | PATH=/admin/login | RISK=Medium | ATTACK=Admin Enumeration | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:05] IP=127.0.0.1 | METHOD=GET | PATH=/admin/dashboard | RISK=Medium | ATTACK=Admin Enumeration | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:05] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/variables.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:05] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/layout.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:05] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/components.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:05] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/responsive.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:05] IP=127.0.0.1 | METHOD=GET | PATH=/static/js/navbar.js | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:07] IP=127.0.0.1 | METHOD=GET | PATH=/admin/monitor | RISK=Medium | ATTACK=Admin Enumeration | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:07] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/variables.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:07] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/components.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:07] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/responsive.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:07] IP=127.0.0.1 | METHOD=GET | PATH=/static/css/layout.css | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
[2026-08-13 20:55:07] IP=127.0.0.1 | METHOD=GET | PATH=/static/js/navbar.js | RISK=Low | ATTACK=Normal Request | USER_AGENT=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.131.0 Chrome/148.0.7778.280 Electron/42.7.0 Safari/537.36
